psraid,sample,lang,state,fips,cregion,usr,llitext,form,sex,q1,intuse,emlocc,eminuse,intmob,home3nw,q2,modem4b,q3,q4,q5,q6,q7,q9,act21,act87,act93,act112,act130,look1,look2,loc1a,loc1b,q10a,q10b,cellphn,smart1,smart2,q11a,q11b,q11c,q11d,q11e,q11f,q12,loc2a,loc2b,loc3m1,loc3m2,loc3m3,loc3m4,loc3m5,loc3m6,loc3m7,loc3m8,loc3m9,loc3m10,loc3m11,loc3m12,loc3m13,mar,2-Mar,3-Mar,4-Mar,meet,rel1,rel2,rel3,intdatea,intdateb,intdatec,intdated,intdatee,snsdate1a,snsdate1b,snsdate1c,snsdate1d,snsdate1e,snsdate2a,snsdate2b,snsdate2c,celldatea,celldateb,breaka,breakb,date1a,date1bm1,date1bm2,date1bm3,date1bm4,date1bm5,date1bm6,date1bm7,date1bm8,date1bm9,date1bm10,date1bm11,date1bm12,date1bm13,date1bm14,date1bm15,date1bm16,date1bm17,date2a,date2bm1,date2bm2,date2bm3,date2bm4,date2bm5,date2bm6,date2bm7,date2bm8,date2bm9,date2bm10,date2bm11,date2bm12,date2bm13,date2bm14,date2bm15,date2bm16,date3a,date3b,date4a,date4b,date4c,date5a,date5b,date5c,date5d,date5e,date5f,date6,date7,date8a,date8b,date8c,date8d,date8e,date9a,date9b,date9c,date9d,rel4a,rel4b,rel4c,rel5,rel6,rel7,rel8a,rel8b,rel8c,rel8d,rel8e,rel8f,q13a,q13b,q13c,age,par,qd2b1,qd2b2,qd2c,hh1,educ2,emplnw,hisp,birth_hisp,race,inc,lgbt,ql1a,ql2hh,qc1,qc2hh,q2os,modem4bos,q6os,smart2os,loc3os,rel3vb,date1bos,date2bos,raceos,weight,standwt
100006,1,1,5,5109,3,R,2,1,2,2,1,1, ,2,1, ,98, , , , , , ,2,2,2,2,2,2,2, , ,1,1,1,2,7,2,2,2,2,2,2, ,2,2, , , , , , , , , , , , , ,1, ,57, , ,2, , ,2,2, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , ,1,1,2,2,2, ,1,1,3, ,2,2,2, ,2,2,2,2,2,77,2, , , ,2,8,3,2, ,1,5,1, ,3, , , , , , , , , , , ,1.258064516,0.397268119
100017,1,1,17,17031,2,S,2,1,2,2,1,1, ,1,1, ,4, , , , , , ,1,1,2,2,2,1,2,2, ,1,2,1,1,1,1,1,1,2,1,1,2,2,1, , , , , , , , , , , , , ,1, ,15, , ,2, , ,2,2, , , ,2,1, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,1,2, , , , , , , , , , , , , , , , ,2,1,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,38,1,0,1,1,2,6,2,2, ,1,9,1, ,2, , , , , , , , , , , ,2.35483871,0.743604428
100025,1,1,34,34039,1,S,2,2,1,3, , ,1,1,1, ,5, , , , , , ,1,2,2,2,2,1,2, , ,1,2,1,1,3,1,1,1,2,1,1,1,2,1, , , , , , , , , , , , , ,1, ,15, , ,2, , ,1,2, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , ,1,2,2,1,1, ,2,1,1,1,2,2,1,2,2,2,2,2,2,51,1,1,2,0,2,4,1,2, ,4,8,1, ,1, , , , , , , , , , , ,6.870967742,2.169695112
100027,1,1,26,26045,2,S,1,2,1,5, , ,2,2, , , ,2,2,2,8,9,2, , , , , , , , , ,1,2,1,2,99,2,2,2,2,2,2, ,2,8, , , , , , , , , , , , , ,5,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,9,9,8,2, , , , , , , , , , , , ,2,2,2,88,2, , , ,1,4,3,2, ,1,2,9, ,3, , , , , , , , , , , ,1.419354839,0.448199929
100028,1,1,45,45091,3,U,2,2,2,3, , ,1,2,1, ,3, , , , , , ,1,1,2,2,2,1,2, ,2,1,2,1,2,7,2,2,2,2,2,1, ,2,2, , , , , , , , , , , , , ,1, ,18, , ,2, , ,2,2, , , ,2,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2,2,1,2,1,2,2,1,3, ,2,2,2,2,2,2,2,2,2,62,2, , , ,2,6,3,2, ,1,99,1, ,2, , , , , , , , , , , ,1.419354839,0.448199929
100031,1,1,19,19061,2,R,2,1,2,4,1,2, ,2,1, ,2, , , , , , ,2,1,2,2,2,2,2,2, ,1,2,1,2,8,2,2,2,2,2,1, ,2,2, , , , , , , , , , , , , ,1, ,23, , ,2, , ,2,2, , , ,2,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2,2,1,1,1,2,2,2,3, ,2,2,2,2,2,2,2,2,2,48,1,0,0,3,2,5,1,2, ,1,3,1, ,2, , , , , , , , , , , ,2.419354839,0.763977152
100036,1,1,34,34025,1,S,1,2,1,3, , ,1,1,1, ,3, , , , , , ,1,1,1,2,2,1,2, ,2,1,1,1,1,3,1,1,1,2,1,1,2,2,1, , , , , , , , , , , , , ,1, ,55, , ,2, , ,2,2, , , ,2,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,1,1,2,1,1,2,2,2,3, ,2,2,2,2,2,2,2,2,2,77,2, , , ,2,6,3,2, ,1,7,1, ,3, , , , , , , , , , , ,1.516129032,0.478759015
100041,1,1,48,48245,3,U,1,1,1,5,1,1, ,2,1, ,2, , , , , , ,1,1,2,2,2,1,1,1, ,1,2,1,2,98,2,2,1,2,2,1,2,2,2, , , , , , , , , , , , , ,2, ,7, , ,2, , ,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2,2,2,2,1,2,2,1,3, ,2,2,2,2,2,2,2,2,2,67,2, , , ,6,4,3,2, ,1,2,1, ,2, , , , , , , , , , , ,2.451612903,0.774163514
100052,1,1,12,12053,3,S,2,1,2,2,1,1, ,2,1, ,3, , , , , , ,1,1,2,2,2,1,2,2, ,1,2,1,2,8,2,2,2,2,2,1, ,2,2, , , , , , , , , , , , , ,1, ,23, , ,2, , ,2,2, , , ,2,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2,2,1,1,1,2,2,1,3, ,2,2,2,2,2,2,2,2,2,48,1,0,1,1,2,6,1,2, ,1,99,1, ,2, , , , , , , , , , , ,1.903225806,0.60099536
100056,1,1,55,55093,2,S,2,2,2,2, , ,1,2,1, ,4, , , , , , ,1,1,2,2,2,2,2, ,2,1,2,1,2,14,2,2,2,2,2,2, ,2,2, , , , , , , , , , , , , ,1, ,40, , ,2, , ,2,2, , , ,2,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,1,2,2,1,1,2,2,1,3, ,2,2,2, ,2,2,2,2,2,59,2, , , ,2,4,1,2, ,1,5,1, ,2, , , , , , , , , , , ,1.580645161,0.499131739
100058,1,1,34,34013,1,S,2,1,1,3,2,2, ,2, , , ,2,2,2,8,3,2, , , , , , , , , ,2,2,0, , , , , , , , , , , , , , , , , , , , , , , , ,5,2, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2,2,1,2, , , , , , , , , , , , , , , ,79,2, , , ,1,3,3,2, ,2,98,1,2, , , , , , , , , , , , ,4.483870968,1.415904322
100067,1,1,8,8075,4,R,2,2,2,2, , ,1,1,1, ,2, , , , , , ,1,1,2,2,2,1,2, ,2,1,1,1,2,14,2,2,2,2,2,2, ,2,2, , , , , , , , , , , , , ,1, ,45, , ,2, , ,2,2, , , ,2,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,1,3, ,2,2,2, ,2,2,2,2,2,65,2, , , ,2,6,3,2, ,1,4,1, ,3, , , , , , , , , , , ,1,0.315777223
100071,1,1,28,28025,3,R,2,1,2,2,2,2, ,2, , , ,2,2,2,9,3,2, , , , , , , , , ,2,2,0, , , , , , , , , , , , , , , , , , , , , , , , ,5,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,1,1,8,8, , , , , , , , , , , , , , , ,87,2, , , ,1,2,3,2, ,1,99,9,2, , , , , , , , , , , , ,2.774193548,0.876027134
